SUBJECT,COURSENO,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,PARTOFTERM,COREQUISITE,PREREQUISITE,DESCRIPTION,SCHEDULEFORPRINT
MATH,102R,A,Sosyal Bilimler için Matematik II - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 102,,,"Çarşamba | 11:40 - 12:30
"
MATH,102R,B,Sosyal Bilimler için Matematik II - Rec.,Mühendislik Fakültesi,0, ,UG Tam,MATH 102,,,"Çarşamba | 15:40 - 16:30
"
MATH,103,A,Mühendislik için Yüksek Matematik I,Mühendislik Fakültesi,8,MEHMET ÖZ,UG Tam,MATH 103R,,"MATH 103 covers differential and integral calculus of single-variable functions. Topics include functions, limit, continuity, the derivative, applications of derivatives, the definite integral, indefinite integrals, applications of definite integrals, transcendental functions, and integration techniques.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 16:30
"
MATH,103,B,Mühendislik için Yüksek Matematik I,Mühendislik Fakültesi,8,MEHMET ÖZ,UG Tam,MATH 103R,,"MATH 103 covers differential and integral calculus of single-variable functions. Topics include functions, limit, continuity, the derivative, applications of derivatives, the definite integral, indefinite integrals, applications of definite integrals, transcendental functions, and integration techniques.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 12:30
"
MATH,103,C,Mühendislik için Yüksek Matematik I,Mühendislik Fakültesi,8,BERKAY ANAHTARCI,UG Tam,MATH 103R,,"MATH 103 covers differential and integral calculus of single-variable functions. Topics include functions, limit, continuity, the derivative, applications of derivatives, the definite integral, indefinite integrals, applications of definite integrals, transcendental functions, and integration techniques.","Pazartesi | 10:40 - 12:30
Çarşamba | 14:40 - 16:30
"
MATH,103,D,Mühendislik için Yüksek Matematik I,Mühendislik Fakültesi,8,BERKAY ANAHTARCI,UG Tam,MATH 103R,,"MATH 103 covers differential and integral calculus of single-variable functions. Topics include functions, limit, continuity, the derivative, applications of derivatives, the definite integral, indefinite integrals, applications of definite integrals, transcendental functions, and integration techniques.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 12:30
"
MATH,103R,A,Mühendislik için Yüksek Matematik I - Uygulama,Mühendislik Fakültesi,0,JÜLİDE MİRAY ÖZKAN,UG Tam,MATH 103,,MATH 103R birinci yıl mühendislik lisans öğrencilerinın tamamı tarafından alınan MATH 103 dersine tamamlayıcı bir derstir.  MATH 103 dersinde sunulmuş kavramları uygulama fırsatları sağlayacak ve öğrencilerin tek değişkenli diferansiyel ve integral hesap için problem çözme becerilerini geliştirecek şekilde düzenlenir. ,"Perşembe | 12:40 - 14:30
"
MATH,103R,B,Mühendislik için Yüksek Matematik I - Uygulama,Mühendislik Fakültesi,0,JÜLİDE MİRAY ÖZKAN,UG Tam,MATH 103,,MATH 103R birinci yıl mühendislik lisans öğrencilerinın tamamı tarafından alınan MATH 103 dersine tamamlayıcı bir derstir.  MATH 103 dersinde sunulmuş kavramları uygulama fırsatları sağlayacak ve öğrencilerin tek değişkenli diferansiyel ve integral hesap için problem çözme becerilerini geliştirecek şekilde düzenlenir. ,"Perşembe | 14:40 - 16:30
"
MATH,103R,C,Mühendislik için Yüksek Matematik I - Uygulama,Mühendislik Fakültesi,0, ,UG Tam,MATH 103,,MATH 103R birinci yıl mühendislik lisans öğrencilerinın tamamı tarafından alınan MATH 103 dersine tamamlayıcı bir derstir.  MATH 103 dersinde sunulmuş kavramları uygulama fırsatları sağlayacak ve öğrencilerin tek değişkenli diferansiyel ve integral hesap için problem çözme becerilerini geliştirecek şekilde düzenlenir. ,"Perşembe | 12:40 - 14:30
"
MATH,103R,D,Mühendislik için Yüksek Matematik I - Uygulama,Mühendislik Fakültesi,0, ,UG Tam,MATH 103,,MATH 103R birinci yıl mühendislik lisans öğrencilerinın tamamı tarafından alınan MATH 103 dersine tamamlayıcı bir derstir.  MATH 103 dersinde sunulmuş kavramları uygulama fırsatları sağlayacak ve öğrencilerin tek değişkenli diferansiyel ve integral hesap için problem çözme becerilerini geliştirecek şekilde düzenlenir. ,"Perşembe | 14:40 - 16:30
"
MATH,104,A,Mühendislik için Yüksek Matematik II,Mühendislik Fakültesi,8,SAADET ERBAY,UG Tam,MATH 104R,MATH103,"MATH 104 tek değişkenli ve çok değişkenli fonksiyonların diferansiyel ve integral hesabını kapsar. İçerdiği konular sonsuz diziler ve seriler, parametrik denklemler, kutupsal koordinatlar, vektörler, vektör-değerli fonksiyonlar,  kısmi türevler ve çok katlı integraller şeklindedir.","Pazartesi | 14:40 - 16:30
Çarşamba | 10:40 - 12:30
"
